anchor	endpoint	alpha	beta	relation	n	direct	closed	formula_match	sign	cone_ok
left	x=1	1/2	1/2	alpha_eq_beta	44	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	45	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	45	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	46	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	46	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	47	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	47	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	48	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	48	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	49	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	49	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	50	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	50	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	51	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	51	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	52	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	52	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	53	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	53	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	54	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	54	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	55	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	55	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	56	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	56	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	57	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	57	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	58	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	58	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	59	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	59	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	60	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	60	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	61	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	61	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	62	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	62	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	63	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	63	0	0	true	zero	true
right	x=0	1/2	1/2	alpha_eq_beta	64	0	0	true	zero	true
left	x=1	1/2	1/2	alpha_eq_beta	64	0	0	true	zero	true
right	x=0	1/2	2/3	beta_gt_alpha	1	4/81	4/81	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	1	-27/800	-27/800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	2	128/5103	128/5103	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	2	-729/56320	-729/56320	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	3	45056/2893401	45056/2893401	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	3	-6561/991232	-6561/991232	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	4	360448/33480783	360448/33480783	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	4	-531441/134807552	-531441/134807552	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	5	4456448/559607373	4456448/559607373	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	5	-43046721/16667115520	-43046721/16667115520	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	6	1212153856/196422187923	1212153856/196422187923	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	6	-5036466357/2787953868800	-5036466357/2787953868800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	7	26239565824/5303399073921	26239565824/5303399073921	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	7	-135984591639/102596702371840	-135984591639/102596702371840	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	8	284004712448/69760095510807	284004712448/69760095510807	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	8	-282429536481/280028646473728	-282429536481/280028646473728	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	9	65889093287936/19269884844562149	65889093287936/19269884844562149	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	9	-48295450738251/61145078571204608	-48295450738251/61145078571204608	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	10	10633926708035584/3642008235622246161	10633926708035584/3642008235622246161	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	10	-24775566228722763/39132850285570949120	-24775566228722763/39132850285570949120	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	11	59180113853415424/23412910086143011035	59180113853415424/23412910086143011035	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	11	-35207383588184979/68057130931427737600	-35207383588184979/68057130931427737600	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	12	473440910827323392/213884855298223747425	473440910827323392/213884855298223747425	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	12	-16677181699666569/38822154687840518144	-16677181699666569/38822154687840518144	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	13	5354779956943519744/2735474728287808980225	5354779956943519744/2735474728287808980225	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	13	-101313878825474406675/280140668227457178927104	-101313878825474406675/280140668227457178927104	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	14	1332416971355325464576/763197449192298705482775	1332416971355325464576/763197449192298705482775	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	14	-24619272554590280822025/79907710606121578761551872	-24619272554590280822025/79907710606121578761551872	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	15	1001977562459204749361152/638796264973954016489082675	1001977562459204749361152/638796264973954016489082675	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	15	-274751081709227533973799/1036044799582817710839431168	-274751081709227533973799/1036044799582817710839431168	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	16	34249414862241907796344832/24146498816015461823287325115	34249414862241907796344832/24146498816015461823287325115	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	16	-229966655390623445936069763/998370443234351612263451852800	-229966655390623445936069763/998370443234351612263451852800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	17	14521751901590568905650208768/11257097748026408302016550968613	14521751901590568905650208768/11257097748026408302016550968613	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	17	-6209099695546833040273883601/30786114031372006079978442588160	-6209099695546833040273883601/30786114031372006079978442588160	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	18	24628891225097604863982754070528/20885132636231280659755563918482433	24628891225097604863982754070528/20885132636231280659755563918482433	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	18	-2067630198617095402411203239133/11624836658246069495799859921289216	-2067630198617095402411203239133/11624836658246069495799859921289216	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	19	1134130405682543365443888772808704/1047240222188168501653457562198190569	1134130405682543365443888772808704/1047240222188168501653457562198190569	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	19	-866203657723877999713364402149041/5486922902692144802017533882848509952	-866203657723877999713364402149041/5486922902692144802017533882848509952	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	20	13056330523955133377793060994285568/13073611806026490649673808921635475813	13056330523955133377793060994285568/13073611806026490649673808921635475813	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	20	-754435443824022773943898027678197/5353095514821604684895155007657082880	-754435443824022773943898027678197/5353095514821604684895155007657082880	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	21	104450644191641067022344487954284544/112991041986080066830803663707335886493	104450644191641067022344487954284544/112991041986080066830803663707335886493	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	21	-22458962827684370270483733593189403/177566095125789813937985629522283724800	-22458962827684370270483733593189403/177566095125789813937985629522283724800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	22	604480323832475962342078738799263744/704021107759421954868853596945708215841	604480323832475962342078738799263744/704021107759421954868853596945708215841	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	22	-78224567528824661652094844105078690649/685831285813850577354075695466868658667520	-78224567528824661652094844105078690649/685831285813850577354075695466868658667520	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	23	248377106677718633718089885184923009024/310473308521905082097164436253057323185881	248377106677718633718089885184923009024/310473308521905082097164436253057323185881	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	23	-171248377563102637670802226284091187637/1657668809967094161434531893724176162226176	-171248377563102637670802226284091187637/1657668809967094161434531893724176162226176	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	24	8298717446643775526580885575590368772096/11101518572283254692285095923318779420943799	8298717446643775526580885575590368772096/11101518572283254692285095923318779420943799	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	24	-291585075310147734412447033943182292463/3103720325044772046941251205270797920763904	-291585075310147734412447033943182292463/3103720325044772046941251205270797920763904	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	25	810529561936350994826989934130912821248/1157301163905976357883002277720490518785647	810529561936350994826989934130912821248/1157301163905976357883002277720490518785647	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	25	-55109579233617921803952489415261453275507/642652679068093976778423778973718157711114240	-55109579233617921803952489415261453275507/642652679068093976778423778973718157711114240	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	26	978752678564650257904289731780724916224/1487958639307683888706717214212059238438689	978752678564650257904289731780724916224/1487958639307683888706717214212059238438689	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	26	-1487958639307683888706717214212059238438689/18944345345225944531892270332454999188465254400	-1487958639307683888706717214212059238438689/18944345345225944531892270332454999188465254400	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	27	472648566230492924544326095929019159543808/763322781964841834906545930890786389319047457	472648566230492924544326095929019159543808/763322781964841834906545930890786389319047457	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	27	-311433203576026860426987323904849608045307/4315281409684400401089697255831944926634967040	-311433203576026860426987323904849608045307/4315281409684400401089697255831944926634967040	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	28	5319299118255039015210720808421503761645568/9106618305766601425745536338301707388852821987	5319299118255039015210720808421503761645568/9106618305766601425745536338301707388852821987	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	28	-3715470544988413474396383654957856951796337/55863279339914419737742989930042632504801755136	-3715470544988413474396383654957856951796337/55863279339914419737742989930042632504801755136	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	29	64192219867755725064915817213493401326977024/116268219764322422854286033714596217592562773741	64192219867755725064915817213493401326977024/116268219764322422854286033714596217592562773741	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	29	-1906036389579056112365344814993380616271520881/31010747880353848733060311969300954233851984478208	-1906036389579056112365344814993380616271520881/31010747880353848733060311969300954233851984478208	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	30	2102423585108735507326122845376335880261151490048/4021368916988619639261191048086739377873968655379967	2102423585108735507326122845376335880261151490048/4021368916988619639261191048086739377873968655379967	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	30	-55074419888363252930977594917440313596477103351/967114849150018333370016508873114504920129685422080	-55074419888363252930977594917440313596477103351/967114849150018333370016508873114504920129685422080	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	31	773691879320014666696013207098491603936103748337664/1560079488795953440052328379760387155489948576779249303	773691879320014666696013207098491603936103748337664/1560079488795953440052328379760387155489948576779249303	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	31	-2046035403521825810014739071331372853234536598927/38684593966000733334800660354924580196805187416883200	-2046035403521825810014739071331372853234536598927/38684593966000733334800660354924580196805187416883200	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	32	6189535034560117333568105656787932831488829986701312/13135835781602018277733836916156471441338031034771788707	6189535034560117333568105656787932831488829986701312/13135835781602018277733836916156471441338031034771788707	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	32	-307782182844068939706502891730276516350852434095733/6251430384905718506903786713355812159803718286568325120	-307782182844068939706502891730276516350852434095733/6251430384905718506903786713355812159803718286568325120	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	33	217441056866285861109696929160202162080129331706724352/484953610794245940090214509823001159946540778406166648387	217441056866285861109696929160202162080129331706724352/484953610794245940090214509823001159946540778406166648387	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	33	-185592656254973570643021243713356739359564017759726999/4040924600803056442862607731513196980097123500437765357568	-185592656254973570643021243713356739359564017759726999/4040924600803056442862607731513196980097123500437765357568	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	34	430354865763524741645156445220926753118786282961502208/1007211345495741567879676289632387024504353924382038423573	430354865763524741645156445220926753118786282961502208/1007211345495741567879676289632387024504353924382038423573	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	34	-25825931935788245330248109990574026269342408317488164707/601570688397811533059198646639182019993589168065169938448384	-25825931935788245330248109990574026269342408317488164707/601570688397811533059198646639182019993589168065169938448384	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	35	20754014934849418526662192513189481727869355392396951552/50902911845438631545919024791421405776873886793769172637497	20754014934849418526662192513189481727869355392396951552/50902911845438631545919024791421405776873886793769172637497	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	35	-697300162266282623916698969745498709272245024572180447089/17343507660605613580175794417497054195528584220764360503459840	-697300162266282623916698969745498709272245024572180447089/17343507660605613580175794417497054195528584220764360503459840	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	36	195419804626542124847051204704192159949617850374809695813632/501648196236797713885031989319457953931092154352595196342532935	195419804626542124847051204704192159949617850374809695813632/501648196236797713885031989319457953931092154352595196342532935	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	36	-458126206608947683913271223122792651991864981143922553737473/12145340857539593059244232372365542740868749400794422594817228800	-458126206608947683913271223122792651991864981143922553737473/12145340857539593059244232372365542740868749400794422594817228800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	37	176659503382394080861734289052589712594454536738827965015523328/474057545443773839621355229906887766464882085863202460543693623575	176659503382394080861734289052589712594454536738827965015523328/474057545443773839621355229906887766464882085863202460543693623575	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	37	-902966753226235884993057580775024317075965877834671353416559283/25472180473700637731291743669914805479569210743298126619658277617664	-902966753226235884993057580775024317075965877834671353416559283/25472180473700637731291743669914805479569210743298126619658277617664	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	38	842055552849607858885677476691398528250221842753657078335810830336/2359384403673662399795484979246580413695718141341158646125963164532775	842055552849607858885677476691398528250221842753657078335810830336/2359384403673662399795484979246580413695718141341158646125963164532775	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	38	-609502558427709222370313867023141414026276967538403163556177516025/18265869052413693674948115824389816874803812213012329343260408531648512	-609502558427709222370313867023141414026276967538403163556177516025/18265869052413693674948115824389816874803812213012329343260408531648512	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	39	6642134200877706790890223936141751590837749895640847033912875829690368/19411329598852841609517396491398544657878586211139809655577192086943863575	6642134200877706790890223936141751590837749895640847033912875829690368/19411329598852841609517396491398544657878586211139809655577192086943863575	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	39	-7104201951509856673857264909073008940535785638029584414564626457275/225832562829842030890267613828819554088483496451788799153037778209472512	-7104201951509856673857264909073008940535785638029584414564626457275/225832562829842030890267613828819554088483496451788799153037778209472512	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	40	10883497003847808717603258497774436341613662479604279477254832684793856/33140185661741736612033213213652316289446110885060705477554503586374886525	10883497003847808717603258497774436341613662479604279477254832684793856/33140185661741736612033213213652316289446110885060705477554503586374886525	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	40	-268287275140592888986304094018638464193046839790007735094551739213721/9033302513193681235610704553152782163539339858071551966121511128378900480	-268287275140592888986304094018638464193046839790007735094551739213721/9033302513193681235610704553152782163539339858071551966121511128378900480	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	41	61706574082765747512987999987381637656207866645523909155236471635968/195581423577492216071015684539587440396731146206915638883928217886802609	61706574082765747512987999987381637656207866645523909155236471635968/195581423577492216071015684539587440396731146206915638883928217886802609	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	41	-195581423577492216071015684539587440396731146206915638883928217886802609/6965438082462597579266085438575639258632743986946738865443092918268067840000	-195581423577492216071015684539587440396731146206915638883928217886802609/6965438082462597579266085438575639258632743986946738865443092918268067840000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	42	1602117947787832795469059634560821423933997349011574111941230906572800/5280698436592289833917423482568860890711740947586722249866061882943670443	1602117947787832795469059634560821423933997349011574111941230906572800/5280698436592289833917423482568860890711740947586722249866061882943670443	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	42	-1760232812197429944639141160856286963570580315862240749955353960981223481/66220533390068227475058098162458579214034784506377274157760330009082331136000	-1760232812197429944639141160856286963570580315862240749955353960981223481/66220533390068227475058098162458579214034784506377274157760330009082331136000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	43	41633961640459326329988674083403105209647838122008639611050848262553600/142578857787991825515770434029359244049217005584841500746383670839479101961	41633961640459326329988674083403105209647838122008639611050848262553600/142578857787991825515770434029359244049217005584841500746383670839479101961	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	43	-709347551184038932914280766315220119647845798929559705205888909649149761/28153800808434686569517601166027014611078480390540926295064026713800520499200	-709347551184038932914280766315220119647845798929559705205888909649149761/28153800808434686569517601166027014611078480390540926295064026713800520499200	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	44	490251593249453640380091353251757913030459936537809599015520100889395200/1742866933259183658170387842836495833974757127969928195690869051007960962777	490251593249453640380091353251757913030459936537809599015520100889395200/1742866933259183658170387842836495833974757127969928195690869051007960962777	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	44	-285856475850284346099784786425536466126743829419374806575507471052642441/11955275352981176474308907740397368467160796012411024881592473180288791347200	-285856475850284346099784786425536466126743829419374806575507471052642441/11955275352981176474308907740397368467160796012411024881592473180288791347200	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	45	537315746201401189856580123163926672681384090445439320521010030574777139200/1981327547844063308833790012318319077408288450240082401211737656837662129131877	537315746201401189856580123163926672681384090445439320521010030574777139200/1981327547844063308833790012318319077408288450240082401211737656837662129131877	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	45	-33445207674483268493674820011787766536829028042066852369334374113159165597/1472245144591839260207029537469159083146992407820503738227567483774889361408000	-33445207674483268493674820011787766536829028042066852369334374113159165597/1472245144591839260207029537469159083146992407820503738227567483774889361408000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	46	1177796115673471408165623629975327266517593926256402990582053987019911489126400/4501293141909162685769108937985461184003430174881147203781466279527048691369177133	1177796115673471408165623629975327266517593926256402990582053987019911489126400/4501293141909162685769108937985461184003430174881147203781466279527048691369177133	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	46	-27993638823542495729205824349866360591325896471209955433132871132714221604689/1295575727240818548982185992972859993169353318882043289640259385721902638039040000	-27993638823542495729205824349866360591325896471209955433132871132714221604689/1295575727240818548982185992972859993169353318882043289640259385721902638039040000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	47	207292116358530967837149758875657598907096531021126926342441501715504422086246400/820471970822497598558815494004009281967746113304984490869485507456210512568577374781	207292116358530967837149758875657598907096531021126926342441501715504422086246400/820471970822497598558815494004009281967746113304984490869485507456210512568577374781	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	47	-469107311075654699242950710891385387232724690813121097210866227211332208829683/22802132799438406462086473476322335879780618412323961897668565188705486429487104000	-469107311075654699242950710891385387232724690813121097210866227211332208829683/22802132799438406462086473476322335879780618412323961897668565188705486429487104000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	48	1658336930868247742697198071005260791256772248169015410739532013724035376689971200/6792885431772775165307284864477872421939495481809550205228185070688562694679992027033	1658336930868247742697198071005260791256772248169015410739532013724035376689971200/6792885431772775165307284864477872421939495481809550205228185070688562694679992027033	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	48	-106590177654957321867709910158293279699030197897496433416940248092525580107643177/5436028459386116100561415276755244873739699429498032516404185940987387964789725593600	-106590177654957321867709910158293279699030197897496433416940248092525580107643177/5436028459386116100561415276755244873739699429498032516404185940987387964789725593600	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	49	1779241783613817560121566247199163693229588226658385571198489793302475399652966400/7537311232514997101231370877023392687357522383925665296212095763366761346151771975201	1779241783613817560121566247199163693229588226658385571198489793302475399652966400/7537311232514997101231370877023392687357522383925665296212095763366761346151771975201	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	49	-44077843464999983048136671795458436768172645520033130387205238382261762258197496931/2356271244941181960679711639960818868908262443622419912565014415147987801465219239116800	-44077843464999983048136671795458436768172645520033130387205238382261762258197496931/2356271244941181960679711639960818868908262443622419912565014415147987801465219239116800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	50	83994305190798832937224038283619925636818580838684974291825735984813888173716275200/367741448028494858570604252789509737956864381573636406820453303823209882520141716895333	83994305190798832937224038283619925636818580838684974291825735984813888173716275200/367741448028494858570604252789509737956864381573636406820453303823209882520141716895333	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	50	-6061638914541593594056146715504470930767375699698953414878818860718510599174867999/339336992970827285066385114665824499572747066588287296138975973378648108221813751808000	-6061638914541593594056146715504470930767375699698953414878818860718510599174867999/339336992970827285066385114665824499572747066588287296138975973378648108221813751808000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	51	2687817766105562653991169225075837620378194586837919177338423551514044421558920806400/12154198249186263857035573835404730167752595782842071191126934576445546320916126999662899	2687817766105562653991169225075837620378194586837919177338423551514044421558920806400/12154198249186263857035573835404730167752595782842071191126934576445546320916126999662899	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	51	-2294462749603943348995527972753223582205535840596541370188920001586794334599878577/134390888305278132699558461253791881018909729341895958866921177575702221077946040320000	-2294462749603943348995527972753223582205535840596541370188920001586794334599878577/134390888305278132699558461253791881018909729341895958866921177575702221077946040320000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	52	200958337652752347961956577575763560402108006492554704847732601982358461424966041600/937992433277339268672814803957327072970698490386750287922821819088692631544772561427639	200958337652752347961956577575763560402108006492554704847732601982358461424966041600/937992433277339268672814803957327072970698490386750287922821819088692631544772561427639	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	52	-80770897552513499412108396104135630153336647755683310765764386384973101829395725603/4945584689634235283343751374139541221495878039781771286302699334785841735668414283776000	-80770897552513499412108396104135630153336647755683310765764386384973101829395725603/4945584689634235283343751374139541221495878039781771286302699334785841735668414283776000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	53	345573216150527402102803834335892477700821244809626782168063539857513615908352819200/1663961260479330601388845068141298116788888280414831885085512123916830870787381343147403	345573216150527402102803834335892477700821244809626782168063539857513615908352819200/1663961260479330601388845068141298116788888280414831885085512123916830870787381343147403	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	53	-2180814233917864484126926694811662014140089489403449390675638432394273749393684591281/139474732331217461598300038753303547569962257690144607790159116940651925435074831240396800	-2180814233917864484126926694811662014140089489403449390675638432394273749393684591281/139474732331217461598300038753303547569962257690144607790159116940651925435074831240396800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	54	5214008685279157442927104252459945703549990941687648889351742689370165436825227336089600/25884343659264969787976104044996299033608404820378779828406642955061090050129820262380551439	5214008685279157442927104252459945703549990941687648889351742689370165436825227336089600/25884343659264969787976104044996299033608404820378779828406642955061090050129820262380551439	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	54	-2139378763473425058928515087610240435871427789104783852252801302178782548155204584046661/142801269872425564046887531266372992928827151910941327781565528776470090983769326280821964800	-2139378763473425058928515087610240435871427789104783852252801302178782548155204584046661/142801269872425564046887531266372992928827151910941327781565528776470090983769326280821964800	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	55	5054912207873471293695133850137097094825739890652790363949222257574162512699799160383078400/25858459315605704818188127940951302734574796415558401048578236312106028960079690442118170887561	5054912207873471293695133850137097094825739890652790363949222257574162512699799160383078400/25858459315605704818188127940951302734574796415558401048578236312106028960079690442118170887561	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	55	-232959092933384728091784936404966691302475643383409018455659786595549810451168382361424962951/16216512206712647053164548050609317076997611371006497182874581447855943532116844692450142322688000	-232959092933384728091784936404966691302475643383409018455659786595549810451168382361424962951/16216512206712647053164548050609317076997611371006497182874581447855943532116844692450142322688000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	56	44173592175922385541517460563414293658207850864373287705276928016169441703900668922901299200/232726133840451343363693151468561724611173167740025609437204126808954260640717213979063537988049	44173592175922385541517460563414293658207850864373287705276928016169441703900668922901299200/232726133840451343363693151468561724611173167740025609437204126808954260640717213979063537988049	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	56	-232726133840451343363693151468561724611173167740025609437204126808954260640717213979063537988049/16882393769890936277294490554634336822460168156506232996401466916157284930249784155927741087088640000	-232726133840451343363693151468561724611173167740025609437204126808954260640717213979063537988049/16882393769890936277294490554634336822460168156506232996401466916157284930249784155927741087088640000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	57	45187664205004429870470557049391804399578883266824987527380676624540635843885866887740076851200/245060618933995264561968888496395496015565345630246966737375945529828836454675226319953905501415597	45187664205004429870470557049391804399578883266824987527380676624540635843885866887740076851200/245060618933995264561968888496395496015565345630246966737375945529828836454675226319953905501415597	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	57	-2094535204564062090273238363217055521500558509660230484934837141280588345766454925811571841892441/158225509967107111280050064919586390941213451336453030326873986814361527220083240624759633896013824000	-2094535204564062090273238363217055521500558509660230484934837141280588345766454925811571841892441/158225509967107111280050064919586390941213451336453030326873986814361527220083240624759633896013824000	true	negative	false
right	x=0	1/2	2/3	beta_gt_alpha	58	323735058756229383693197063774089802437265373578420522407926315732709007099914558823037614109491200/1806341822162479095086272677106931201130732162640550391821198094500368353507411093204380237450934365487	323735058756229383693197063774089802437265373578420522407926315732709007099914558823037614109491200/1806341822162479095086272677106931201130732162640550391821198094500368353507411093204380237450934365487	true	positive	true
left	x=1	1/2	2/3	beta_gt_alpha	58	-2205545570405957381057719996467559464140088110672222700636383509768459528092077036879585149512740373/173382137947956258565798165051361727311721341596647522344968281064335497514487040439736608913391983001600	-2205545570405957381057719996467559464140088110672222700636383509768459528092077036879585149512740373/173382137947956258565798165051361727311721341596647522344968281064335497514487040439736608913391983001600	true	negative	false
